Ruolo,Calciatore,Squadra,,Quotazione,,SVINCOLATO
C,Matic,Sassuolo,C,10,LIBERO,SI
C,Harrison,Fiorentina,C,10,LIBERO,SI
C,Frendrup,Genoa,C,9,LIBERO,SI
C,Bernede,Verona,C,9,LIBERO,SI
C,Zhegrova,Juventus,C,9,ASTI,
C,Moro N.,Bologna,C,8,LIBERO,SI
C,Fabbian,Fiorentina,C,8,DODO,
C,Folorunsho,Cagliari,C,8,NILO,
C,Fagioli,Fiorentina,C,8,BARDO,
C,Keita M.,Parma,C,8,GIOPPY,
C,Piotrowski,Udinese,C,8,GALVA,
C,Rowe,Bologna,C,8,ASTI,
C,Gagliardini,Verona,C,8,LIBERO,SI
C,Adopo,Cagliari,C,7,LIBERO,SI
C,Bondo,Cremonese,C,7,LIBERO,SI
C,El Shaarawy,Roma,C,7,GIOPPY,
C,Casadei,Torino,C,7,ROBY,
C,Payero,Cremonese,C,7,LIBERO,SI
C,Lorran,Pisa,C,7,LIBERO,SI
C,Gandelman,Lecce,C,7,LIBERO,SI
C,Loyola,Pisa,C,7,LIBERO,SI
C,Zaragoza,Roma,C,7,LIBERO,SI
C,Santos A.,Napoli,C,7,LIBERO,SI
C,Ferguson,Bologna,C,6,GALVA,
C,Deiola,Cagliari,C,6,LIBERO,SI
C,Prati,Torino,C,6,BEPPE,
C,Ndour,Fiorentina,C,6,LIBERO,SI
C,Messias,Genoa,C,6,LIBERO,SI
C,Luis Henrique,Inter,C,6,PAOLO B.,
C,Vecino,Lazio,C,6,LIBERO,SI
C,Pierotti,Lecce,C,6,PECU,
C,Zerbin,Cremonese,C,6,DODO,
C,Gilmour,Napoli,C,6,LIBERO,SI
C,Akinsanmiro,Pisa,C,6,LIBERO,SI
C,Pisilli,Roma,C,6,BEPPE,
C,Baldanzi,Genoa,C,6,LIBERO,SI
C,Sorensen O.,Parma,C,6,BARDO,
C,Freuler,Bologna,C,5,PECU,
C,Aebischer,Pisa,C,5,PECU,
C,Bernardeschi,Bologna,C,5,LIBERO,SI
C,Grassi,Cremonese,C,5,LIBERO,SI
C,Masini,Genoa,C,5,LIBERO,SI
C,Ramadani,Lecce,C,5,LIBERO,SI
C,Musah,Atalanta,C,5,LIBERO,SI
C,Estevez,Parma,C,5,LIBERO,SI
C,Ondrejka,Parma,C,5,PAOLO B.,
C,Piccinini G.,Pisa,C,5,LIBERO,SI
C,Iannoni,Sassuolo,C,5,LIBERO,SI
C,Niasse,Verona,C,5,LIBERO,SI
C,Oristanio,Parma,C,5,GALVA,
C,Elmas,Napoli,C,5,GIOPPY,
C,Amorim,Genoa,C,5,LIBERO,SI
C,Iling Junior,Pisa,C,5,LIBERO,SI
C,Koopmeiners,Juventus,C,4,BARDO,
C,Maleh,Cremonese,C,4,LIBERO,SI
C,Sohm,Bologna,C,4,PAOLO B.,
C,Marin M.,Pisa,C,4,LIBERO,SI
C,El Aynaoui,Roma,C,4,LIBERO,SI
C,Lipani,Sassuolo,C,4,LIBERO,SI
C,Tameze,Torino,C,4,LIBERO,SI
C,Gineitis,Torino,C,4,PAOLO B.,
C,Maldini,Lazio,C,3,ASTI,
C,Sergi Roberto,Como,C,3,LIBERO,SI
C,Frattesi,Inter,C,3,ROBY,
C,Belahyane,Lazio,C,3,LIBERO,SI
C,Rovella,Lazio,C,3,BARDO,
C,Dele-Bashiru,Lazio,C,3,GALVA,
C,Ilic,Torino,C,3,LIBERO,SI
C,Lovric,Verona,C,3,PECU,
C,Harroui,Verona,C,3,LIBERO,SI
C,Jashari,Milan,C,3,PAOLO B.,
C,Miller L.,Udinese,C,3,LIBERO,SI
C,Adzic,Juventus,C,3,LIBERO,SI
C,Al-Musrati,Verona,C,3,LIBERO,SI
C,Nicolussi Caviglia,Parma,C,3,NILO,
C,Bakola,Sassuolo,C,3,LIBERO,SI
C,Sulemana I.,Cagliari,C,2,LIBERO,SI
C,Collocolo,Cremonese,C,2,PAOLO B.,
C,Fazzini,Fiorentina,C,2,ASTI,
C,Sabiri,Fiorentina,C,2,LIBERO,SI
C,Helgason,Lecce,C,2,BARDO,
C,Ordonez C.,Parma,C,2,LIBERO,SI
C,Vural,Pisa,C,2,LIBERO,SI
C,Boloca,Sassuolo,C,2,LIBERO,SI
C,Anjorin,Torino,C,2,LIBERO,SI
C,Zarraga,Udinese,C,2,LIBERO,SI
C,Ilkhan,Torino,C,2,LIBERO,SI
C,Vergara,Napoli,C,2,LIBERO,SI
C,Diouf,Inter,C,2,LIBERO,SI
C,Vranckx,Sassuolo,C,2,LIBERO,SI
C,Gorter,Lecce,C,2,LIBERO,SI
C,Onana J.,Genoa,C,2,LIBERO,SI
C,Cornet,Genoa,C,2,LIBERO,SI
C,Akpa Akpro,Verona,C,2,LIBERO,SI
C,Przyborek,Lazio,C,2,LIBERO,SI
C,Lahdo,Como,C,2,LIBERO,SI
C,Liteta,Cagliari,C,1,LIBERO,SI
C,Venturino,Roma,C,1,LIBERO,SI
C,Marchwinski,Lecce,C,1,LIBERO,SI
C,Hojholt,Pisa,C,1,LIBERO,SI
C,Suslov,Verona,C,1,LIBERO,SI
C,Cuenca H.,Genoa,C,1,LIBERO,SI
C,Sala A.,Lecce,C,1,LIBERO,SI
C,Stengs,Pisa,C,1,LIBERO,SI
C,Cremaschi,Parma,C,1,LIBERO,SI
C,Fofana Sa.,Lecce,C,1,LIBERO,SI
C,Ngom,Lecce,C,1,LIBERO,SI
A,Martinez L.,Inter,A,35,NILO,
A,Yildiz,Juventus,A,31,GIOPPY,
A,Thuram,Inter,A,30,ASTI,
A,Leao,Milan,A,29,DODO,
A,Soulè,Roma,A,25,GIOPPY,
A,Davis K.,Udinese,A,25,GALVA,
A,Hojlund,Napoli,A,25,PAOLO B.,
A,Douvikas,Como,A,24,PECU,
A,Scamacca,Atalanta,A,23,ROBY,
A,Castro S.,Bologna,A,23,GALVA,
A,Krstovic,Atalanta,A,22,BEPPE,
A,Berardi,Sassuolo,A,22,NILO,
A,Orban G.,Verona,A,22,NILO,
A,Bonazzoli,Cremonese,A,20,PAOLO B.,
A,Pellegrino M.,Parma,A,20,GALVA,
A,Esposito F.P.,Inter,A,19,DODO,
A,Simeone,Torino,A,19,GALVA,
A,Laurientè,Sassuolo,A,19,BEPPE,
A,Vardy,Cremonese,A,19,PECU,
A,Moreo,Pisa,A,18,GIOPPY,
A,De Ketelaere,Atalanta,A,17,DODO,
A,Cambiaghi,Bologna,A,17,ASTI,
A,Kean,Fiorentina,A,17,GIOPPY,
A,Esposito Se.,Cagliari,A,17,PAOLO B.,
A,Nkunku,Milan,A,17,GALVA,
A,Bonny,Inter,A,16,ROBY,
A,Raspadori,Atalanta,A,16,LIBERO,SI
A,Ferguson E.,Roma,A,16,BEPPE,
A,Adams C.,Torino,A,16,ASTI,
A,Giovane,Napoli,A,16,GALVA,
A,Lukaku,Napoli,A,15,BARDO,
A,Durosinmi,Pisa,A,15,LIBERO,SI
A,Malen,Roma,A,15,LIBERO,SI
A,Colombo,Genoa,A,14,NILO,
A,Vlahovic,Juventus,A,14,BARDO,
A,Cancellieri,Lazio,A,14,LIBERO,SI
A,Dovbyk,Roma,A,14,GALVA,
A,Pinamonti,Sassuolo,A,14,PAOLO B.,
A,Kilicsoy,Cagliari,A,14,LIBERO,SI
A,Fullkrug,Milan,A,14,LIBERO,SI
A,Ratkov,Lazio,A,14,LIBERO,SI
A,Borrelli,Cagliari,A,13,LIBERO,SI
A,David,Juventus,A,13,GIOPPY,
A,Dybala,Roma,A,13,ASTI,
A,Rodriguez Je.,Como,A,12,DODO,
A,Vitinha O.,Genoa,A,12,LIBERO,SI
A,Gimenez,Milan,A,12,PAOLO B.,
A,Sulemana K.,Atalanta,A,11,ASTI,
A,Addai,Como,A,11,LIBERO,SI
A,Ekuban,Genoa,A,11,LIBERO,SI
A,Noslin,Lazio,A,11,LIBERO,SI
A,Banda,Lecce,A,11,LIBERO,SI
A,Nzola,Sassuolo,A,11,BARDO,
A,Ekhator,Genoa,A,10,LIBERO,SI
A,N'Dri,Lecce,A,10,LIBERO,SI
A,Vaz,Roma,A,10,LIBERO,SI
A,Openda,Juventus,A,9,BARDO,
A,Dallinga,Bologna,A,8,PECU,
A,Piccoli,Fiorentina,A,8,ASTI,
A,Benedyczak,Parma,A,8,LIBERO,SI
A,Meister,Pisa,A,8,LIBERO,SI
A,Buksa,Udinese,A,8,PECU,
A,Belotti,Cagliari,A,8,GIOPPY,
A,Pedro,Lazio,A,7,BEPPE,
A,Mosquera,Verona,A,7,ROBY,
A,Cheddira,Lecce,A,7,LIBERO,SI
A,Stulic,Lecce,A,7,DODO,
A,Solomon,Fiorentina,A,7,LIBERO,SI
A,Kuhn,Como,A,6,DODO,
A,Njie,Torino,A,6,LIBERO,SI
A,Sanabria,Cremonese,A,6,PECU,
A,Zapata D.,Torino,A,6,ROBY,
A,Sarr A.,Verona,A,6,PECU,
A,Bowie,Verona,A,6,LIBERO,SI
A,Boga,Juventus,A,6,LIBERO,SI
A,Dominguez B.,Bologna,A,5,ROBY,
A,Dia,Lazio,A,5,BEPPE,
A,Kulenovic,Torino,A,5,LIBERO,SI
A,Diao,Como,A,4,ASTI,
A,Camarda,Lecce,A,4,DODO,
A,Stojilkovic,Pisa,A,4,LIBERO,SI
A,Luvumbo,Cagliari,A,3,NILO,
A,Almqvist,Parma,A,3,BARDO,
A,Bayo V.,Udinese,A,3,LIBERO,SI
A,Aboukhlal,Torino,A,3,ROBY,
A,Morata,Como,A,3,BARDO,
A,Djuric,Cremonese,A,2,NILO,
A,Moro L.,Sassuolo,A,2,LIBERO,SI
A,Moumbagna,Cremonese,A,2,LIBERO,SI
A,Gueye,Udinese,A,2,LIBERO,SI
A,Isaac,Verona,A,2,LIBERO,SI
A,Pavoletti,Cagliari,A,1,LIBERO,SI
A,Okereke,Cremonese,A,1,LIBERO,SI
A,Milik,Juventus,A,1,LIBERO,SI
A,Frigan,Parma,A,1,LIBERO,SI
A,Kouamè,Fiorentina,A,1,LIBERO,SI
A,Balentien,Milan,A,1,LIBERO,SI
A,Arena A.,Roma,A,1,BEPPE,
A,Trepy,Cagliari,A,1,LIBERO,SI
A,Albarracin,Cagliari,A,1,LIBERO,SI
A,Elphege,Parma,A,1,LIBERO,SI
